cgl_locus,cg_locus,gene_name,product
Cgl2859,cg3165,,Hypothetical membrane protein
Cgl0603,cg0699,guaB2,Inosine-5'-monophosphate dehydrogenase (IMP dehydrogenase) (IMPD) (IMPDH) (EC 1.1.1.205)
Cgl2336,cg2566,,LTD domain-containing protein
Cgl2684,cg2970,,Uncharacterized protein
Cgl0967,cg1104,,Uncharacterized protein Cgl0967/cg1104 (ORF2)
Cgl0094,cg0123,,"Molecular chaperone, HSP90 family"
Cgl0782,cg0892,,Hydrolase
Cgl0181,cg0223,,Permeases of the major facilitator superfamily
Cgl0755,cg0864,mtrB,Sensor histidine kinase MtrB (EC 2.7.13.3)
Cgl0365,,,Uncharacterized protein
Cgl0856,cg0978,,"ABC-type transporter, ATPase component"
Cgl0571,cg0661,,Type VII secretion protein EccB
Cgl0235,cg0288,,"ABC-type multidrug/protein/lipid transport system, ATPase component"
Cgl1148,cg1299,cydD,"ABC-type transporter, ATPase component and permease component"
Cgl2930,cg3242,,Hypothetical membrane protein
Cgl0128,cg0165,,Hypothetical membrane protein
Cgl0787,cg0897,pdxR,HTH-type pyridoxine biosynthesis transcriptional regulator PdxR
Cgl1999,cg2190,,Protein adenylyltransferase SelO (EC 2.7.7.108)
Cgl0893,cg1017,metS,Methionine--tRNA ligase (EC 6.1.1.10) (Methionyl-tRNA synthetase) (MetRS)
Cgl0824,cg0944,,Permeases
Cgl2205,cg2419,pepB,Probable cytosol aminopeptidase (EC 3.4.11.1) (Leucine aminopeptidase) (LAP) (EC 3.4.11.10) (Leucyl aminopeptidase)
Cgl1094,cg1244,,"Arsenate reductase and related proteins, glutaredoxin family"
Cgl1260,cg1421,,Predicted dinucleotide-binding enzymes (EC 1.-.-.-)
Cgl2846,cg3153,,Hypothetical membrane protein
Cgl0075,cg0103,,Permeases of the major facilitator superfamily
Cgl1917,cg2100,,Predicted rRNA or tRNA methylase
Cgl2910,cg3218,,pyruvate kinase (EC 2.7.1.40)
Cgl0551,cg0642,,Phosphoenolpyruvate synthase/pyruvate phosphate dikinase (EC 2.7.9.2)
Cgl0166,cg0206,,Permeases of the major facilitator superfamily
Cgl1494,cg1688,,Pup--protein ligase (EC 6.3.1.19) (Proteasome accessory factor A) (Pup-conjugating enzyme)
Cgl1365,cg1545,,Permeases of the major facilitator superfamily
Cgl1555,cg1754,,Alpha-galactosidase NEW3 domain-containing protein
Cgl0160,cg0199,msmA,methylmalonate-semialdehyde dehydrogenase (CoA acylating) (EC 1.2.1.27)
Cgl0107,cg0141,,Lactoylglutathione lyase and related lyases
Cgl0754,cg0862,mtrA,DNA-binding response regulator MtrA
Cgl1079,cg1228,,"ABC-type transporter, duplicated ATPase component"
Cgl2181,cg2394,cmt4,Cmt4
Cgl0126,cg0162,,Hypothetical membrane protein
Cgl1554,cg1753,,"ABC-type transporter, duplicated ATPase component"
Cgl1305,cg1476,,Phosphomethylpyrimidine synthase (EC 4.1.99.17) (Hydroxymethylpyrimidine phosphate synthase) (HMP-P synthase) (HMP-phosphate synthase) (HMPP synthase) (Thiamine biosynthesis protein ThiC)
Cgl1467,cg1658,,Permeases of the major facilitator superfamily
Cgl2326,cg2556,,Uncharacterized iron-regulated membrane protein
Cgl0943,cg1076,glmU,Bifunctional protein GlmU [Includes: UDP-N-acetylglucosamine pyrophosphorylase (EC 2.7.7.23) (N-acetylglucosamine-1-phosphate uridyltransferase); Glucosamine-1-phosphate N-acetyltransferase (EC 2.3.1.157)]
Cgl1259,cg1420,gatB,Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B (Asp/Glu-ADT subunit B) (EC 6.3.5.-)
Cgl2347,cg2577,,"Predicted multitransmembrane, metal-binding protein"
Cgl2728,,,Uncharacterized protein
Cgl1710,cg1926,,Amine oxidase
Cgl0366,cg0441,lpd,Dihydrolipoyl dehydrogenase (LPD) (EC 1.8.1.4) (Dihydrolipoamide dehydrogenase) (E3 component of alpha-ketoacid dehydrogenase complexes)
Cgl0067,cg0088,citP,H+/citrate symporter
Cgl0572,cg0662,,FAD/FMN-containing dehydrogenases
Cgl1479,cg1673,ppmN,Apolipoprotein N-acyltransferase (ALP N-acyltransferase) (EC 2.3.1.269)
Cgl2681,cg2966,,2-polyprenyl-6-methoxyphenol hydroxylase and related FAD-dependent oxidoreductases (EC 1.14.13.7)
Cgl0095,cg0124,amn,AMP nucleosidase (EC 3.2.2.4)
Cgl2492,cg2739,,Permeases of the major facilitator superfamily
Cgl2985,cg3312,,Hypothetical membrane protein
Cgl2312,cg2539,ectP,Ectoine/glycine betaine/proline transporter EctP
Cgl3029,cg3359,trpE,Anthranilate synthase component 1 (AS) (ASI) (EC 4.1.3.27)
Cgl1960,cg2149,,"ABC-type transporter, permease components"
Cgl2616,cg2899,,Transcriptional regulator
Cgl0483,cg0570,,Phytoene dehydrogenase and related proteins
Cgl3008,cg3336,gntK,Sugar (Pentulose and hexulose) kinases (EC 2.7.1.12)
Cgl0890,cg1014,,Probable dolichyl-phosphate-mannose--protein mannosyltransferase (EC 2.4.1.109)
Cgl0623,cg0720,crtI2,Phytoene dehydrogenase and related proteins (EC 1.3.-.-)
Cgl2231,cg2450,,CHAD domain-containing protein
Cgl2948,cg3263,,NYN domain-containing protein
Cgl0952,cg1088,,"ABC-type multidrug/protein/lipid transport system, ATPase component"
Cgl0912,cg1040,,"ABC-type transporter, duplicated ATPase component"
Cgl2933,cg3245,,Permeases of the major facilitator superfamily
Cgl1098,cg1248,,Large ribosomal subunit assembly factor BipA (EC 3.6.5.-) (GTP-binding protein BipA)
Cgl2497,cg2747,,Membrane proteins related to metalloendopeptidases
Cgl1514,cg1709,cysS2,L-cysteine:1D-myo-inositol 2-amino-2-deoxy-alpha-D-glucopyranoside ligase (L-Cys:GlcN-Ins ligase) (EC 6.3.1.13) (Mycothiol ligase) (MSH ligase)
Cgl1010,cg1145,fum,Fumarate hydratase class II (Fumarase C) (EC 4.2.1.2) (Aerobic fumarase) (Iron-independent fumarase)
Cgl1015,cg1151,ssiE,"Coenzyme F420-dependent N5,N10-methylene tetrahydromethanopterin reductase and related flavin-dependent oxidoreductases"
Cgl2442,cg2683,,DUF222 domain-containing protein
Cgl2716,cg3011,groEL,Chaperonin GroEL 2 (EC 5.6.1.7) (60 kDa chaperonin 2) (Chaperonin-60 2) (Cpn60 2)
Cgl2341,cg2571,lepA,Elongation factor 4 (EF-4) (EC 3.6.5.n1) (Ribosomal back-translocase LepA)
Cgl1994,cg2185,proS,Proline--tRNA ligase (EC 6.1.1.15) (Prolyl-tRNA synthetase) (ProRS)
Cgl1564,cg1764,sufB,Predicted membrane components of an uncharacterized iron-regulated ABC-type transporter SufB
Cgl2622,cg2905,thrE,Threonine export carrier
Cgl0546,cg0637,betB,NAD-dependent aldehyde dehydrogenases
Cgl0817,cg0934,,Helicase XPB/Ssl2 N-terminal domain-containing protein
Cgl0628,cg0726,,Bacterial lipocalin
Cgl2190,cg2404,qcrA1,Cytochrome bc1 complex Rieske iron-sulfur subunit (Cytochrome bc1 reductase complex subunit QcrA) (Menaquinol--cytochrome c reductase iron-sulfur subunit) (Rieske iron-sulfur protein)
Cgl0752,cg0860,sahH,Adenosylhomocysteinase (EC 3.13.2.1) (S-adenosyl-L-homocysteine hydrolase) (AdoHcyase)
Cgl2631,,,
Cgl1188,cg1343,narH,Nitrate reductase beta chain (EC 1.7.99.4)
Cgl1417,cg1606,pyrG,CTP synthase (EC 6.3.4.2) (Cytidine 5'-triphosphate synthase) (Cytidine triphosphate synthetase) (CTP synthetase) (CTPS) (UTP--ammonia ligase)
Cgl0997,cg1134,pabAB,Anthranilate/para-aminobenzoate synthases component I (EC 4.1.3.-)
Cgl1737,cg1956,recJ,Single-stranded DNA-specific exonuclease (EC 3.1.-.-)
Cgl0093,cg0122,,Uncharacterized protein
Cgl1431,cg1620,,SAM-dependent methyltransferases (EC 2.1.1.-)
Cgl0466,cg0551,menC,o-succinylbenzoate synthase (OSB synthase) (OSBS) (EC 4.2.1.113) (4-(2'-carboxyphenyl)-4-oxybutyric acid synthase) (o-succinylbenzoic acid synthase)
Cgl0474,cg0561,secE,Protein translocase subunit SecE
Cgl2700,cg2988,ppa,Inorganic pyrophosphatase (EC 3.6.1.1) (Pyrophosphate phospho-hydrolase) (PPase)
Cgl3083,cg3413,azlC,Predicted branched-chain amino acid permease (Azaleucine resistance)
Cgl1515,cg1710,bacA,Undecaprenyl-diphosphatase (EC 3.6.1.27) (Bacitracin resistance protein) (Undecaprenyl pyrophosphate phosphatase)
Cgl1257,cg1418,,"ABC-type Fe3+-siderophores transport systems, periplasmic components"
Cgl2718,cg3013,,Double-GTPase 2 domain-containing protein
Cgl1546,cg1744,pacL,Cation transport ATPases (EC 3.6.1.-)
Cgl2477,cg2723,,Uncharacterized protein
Cgl1760,cg1982,,"ATPases with chaperone activity, ATP-binding subunit"
Cgl0099,cg0129,putA,L-glutamate gamma-semialdehyde dehydrogenase (EC 1.2.1.88)
Cgl2050,cg2249,trmD,tRNA (guanine-N(1)-)-methyltransferase (EC 2.1.1.228) (M1G-methyltransferase) (tRNA [GM37] methyltransferase)
Cgl0226,cg0279,tyrA,Prephenate dehydrogenase
Cgl0750,,,Hypothetical membrane protein
Cgl0837,cg0958,,Septum formation-related domain-containing protein
Cgl2567,cg2838,,Predicted dithiol-disulfide isomerase involved in polyketide biosynthesis
Cgl1835,cg2056,,Hypothetical membrane protein
Cgl1651,cg1859,,Uncharacterized protein Cgl1651/cg1859
Cgl0224,cg0275,mgtE2,Magnesium transporter MgtE
Cgl2248,cg2466,aceE,Pyruvate dehydrogenase E1 component (E1p) (PDH E1 component) (EC 1.2.4.1)
Cgl2453,cg2694,,Uncharacterized protein
Cgl0954,cg1090,ggtB,Glutathione hydrolase proenzyme (EC 2.3.2.2) (EC 3.4.19.13) [Cleaved into: Glutathione hydrolase large chain; Glutathione hydrolase small chain]
Cgl1507,cg1701,metH,Methionine synthase (EC 2.1.1.13) (5-methyltetrahydrofolate--homocysteine methyltransferase)
Cgl2131,cg2339,,Predicted permeases
Cgl3063,cg3392,idhA2,Predicted dehydrogenases and related proteins
Cgl2361,,,Uncharacterized protein
Cgl0145,cg0182,tagA2,3-Methyladenine DNA glycosylase (EC 3.2.2.20)
Cgl1701,cg1916,,Uncharacterized protein
Cgl0578,cg0669,,Type VII secretion-associated protein
Cgl0563,cg0654,rpsD,Small ribosomal subunit protein uS4 (30S ribosomal protein S4)
Cgl1949,cg2135,miaB,tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase (EC 2.8.4.3) ((Dimethylallyl)adenosine tRNA methylthiotransferase MiaB) (tRNA-i(6)A37 methylthiotransferase)
Cgl1489,cg1683,,Superfamily II DNA and RNA helicases
Cgl0498,,,Uncharacterized protein
Cgl2875,cg3182,cop1,Protein PS1
Cgl1189,cg1344,narG,nitrate reductase (quinone) (EC 1.7.5.1)
Cgl0424,cg0504,aroE,PUTATIVE SHIKIMATE 5-DEHYDROGENASE PROTEIN
Cgl2080,cg2282,glxK,Glycerate kinase
Cgl2621,cg2904,,HTH cro/C1-type domain-containing protein
Cgl0022,cg0034,,"5'-nucleotidase/2',3'-cyclic phosphodiesterase and related esterases (EC 3.1.3.5)"
Cgl2393,cg2626,pcaL,"Predicted hydrolases or acyltransferases (Alpha/beta hydrolase superfamily) (EC 3.1.1.24, EC 4.1.1.44)"
Cgl2714,cg3007,pvdS2,Polyphosphate kinase PPK2B (EC 2.7.4.1)
Cgl0716,cg0822,,Thioesterase
Cgl0041,cg0057,pknB,Probable serine/threonine-protein kinase PknB (EC 2.7.11.1)
Cgl0309,cg0373,topA,DNA topoisomerase 1 (EC 5.6.2.1) (DNA topoisomerase I)
Cgl0768,cg0878,whiB1(whcE),Transcriptional regulator WhiB
Cgl2275,cg2496,,Chromosome segregation ATPases
Cgl1927,cg2111,hrpA,HrpA-like helicases
Cgl0148,cg0185,,Predicted enzyme related to lactoylglutathione lyase
Cgl2204,cg2418,ilvE,branched-chain-amino-acid transaminase (EC 2.6.1.42)
Cgl1278,cg1442,,Uncharacterized protein
Cgl2106,cg2309,bioQ,Transcriptional regulator
Cgl2076,cg2275,,Cell division initiation protein
Cgl2873,cg3180,,Carboxylesterase Culp6 homolog (EC 3.1.1.-)
Cgl1934,cg2118,fruR,Transcriptional regulators of sugar metabolism
Cgl2329,cg2559,aceB,Malate synthase G (EC 2.3.3.9)
Cgl3088,cg3419,,"Uncharacterized membrane protein, putative virulence factor"
Cgl1937,cg2121,ptsH,HPr domain-containing protein
Cgl1139,cg1290,metE,"5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase (EC 2.1.1.14) (Cobalamin-independent methionine synthase) (Methionine synthase, vitamin-B12 independent isozyme)"
Cgl2871,cg3178,pks,Polyketide synthase modules and related proteins
Cgl1089,cg1239,,2-dehydropantoate 2-reductase (EC 1.1.1.169) (Ketopantoate reductase)
Cgl1238,cg1395,,Orc1-like AAA ATPase domain-containing protein
Cgl0387,cg0465,,Hypothetical membrane protein
Cgl2333,cg2562,,Calcineurin-like phosphoesterase domain-containing protein
Cgl3000,cg3328,mutM2,DNA-(apurinic or apyrimidinic site) lyase (EC 4.2.99.18)
Cgl1573,cg1773,ctaB,Protoheme IX farnesyltransferase (EC 2.5.1.141) (Heme B farnesyltransferase) (Heme O synthase)
Cgl0384,cg0462,,DUF559 domain-containing protein
Cgl2043,cg2241,,"Predicted RNA binding protein, contains S1 domain"
Cgl0689,cg0791,pyc,Pyruvate carboxylase (EC 6.4.1.1)
Cgl1908,cg2089,,DUF4193 domain-containing protein
Cgl0924,cg1054,mmpL2,Predicted drug exporters of the RND superfamily
Cgl3069,cg3398,,site-specific DNA-methyltransferase (adenine-specific) (EC 2.1.1.72)
Cgl2251,cg2470,,Uncharacterized BCR
Cgl0246,cg0300,,Lipid II isoglutaminyl synthase (glutamine-hydrolyzing) subunit MurT (EC 6.3.5.13)
Cgl1720,cg1937,,Lipoprotein
Cgl2772,cg3070,,rRNA methylases
Cgl0510,cg0598,rplB,Large ribosomal subunit protein uL2 (50S ribosomal protein L2)
Cgl1492,cg1686,,Predicted transcriptional regulator
Cgl2785,cg3085,,"Coenzyme F420-dependent N5,N10-methylene tetrahydromethanopterin reductase and related flavin-dependent oxidoreductases (EC 1.14.14.3)"
Cgl2087,cg2289,glgP2,glycogen phosphorylase (EC 2.4.1.1)
Cgl0732,cg0839,,Insecticidal toxin complex protein
Cgl1246,cg1403,gatC,Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit C (Asp/Glu-ADT subunit C) (EC 6.3.5.-)
Cgl1680,cg1895,,Hypothetical membrane protein
Cgl2094,cg2297,hisF,Imidazole glycerol phosphate synthase subunit HisF (EC 4.3.2.10) (IGP synthase cyclase subunit) (IGP synthase subunit HisF) (ImGP synthase subunit HisF) (IGPS subunit HisF)
Cgl2628,cg2911,,"ABC-type transporter, periplasmic component"
Cgl1763,,,Secreted protein
Cgl2213,cg2428,,Hypothetical membrane protein
Cgl2465,,,Glycosyltransferases involved in cell wall biogenesis
Cgl0057,cg0076,,Uncharacterized protein
Cgl1688,cg1904,,"ABC-type transporter, permease components"
Cgl0669,cg0771,irp1,"ABC-type transporter, periplasmic component"
Cgl0013,cg0015,gyrA,DNA gyrase subunit A (EC 5.6.2.2)
Cgl2715,cg3008,porA,Porin
Cgl2005,cg2196,,Hypothetical membrane protein
Cgl2987,cg3314,,DUF5318 domain-containing protein
Cgl1171,cg1324,rosR,Transcriptional regulators
Cgl0275,cg0332,,Uncharacterized protein
Cgl1007,,,Hypothetical membrane protein
Cgl2764,cg3061,cgtR6,"Two-component system, response regulators consisting of a CheY-like receiver domain and a HTH DNA-binding domain"
Cgl1808,cg2028,,Uncharacterized protein
Cgl1950,cg2136,gluA,Glutamate transport ATP-binding protein GluA (EC 7.4.2.1) (Glutamate uptake system protein GluA)
Cgl1972,cg2162,,Flavin-dependent thymidylate synthase (FDTS) (EC 2.1.1.148) (FAD-dependent thymidylate synthase) (Thymidylate synthase ThyX) (TS) (TSase)
Cgl3024,cg3352,genR(nagR),Transcriptional regulator
Cgl2447,cg2688,,"ABC-type transporter, ATPase component"
Cgl2619,cg2902,,Predicted hydrolases of the HAD superfamily
Cgl3095,cg3427,parA1,ATPases involved in chromosome partitioning
Cgl0720,cg0826,,Hypothetical membrane protein
Cgl1522,cg1717,,Hypothetical membrane protein
Cgl2738,cg3034,def1,Peptide deformylase 2 (PDF 2) (EC 3.5.1.88) (Polypeptide deformylase 2)
Cgl2117,cg2322,,Uncharacterized protein
Cgl0907,cg1033,,Hypothetical membrane protein
Cgl2507,cg2760,,Ig-like domain-containing protein
Cgl2571,cg2842,phoU,Phosphate-specific transport system accessory protein PhoU
Cgl2464,cg2710,,Tyr recombinase domain-containing protein
Cgl2041,cg2239,thiG,Thiazole synthase (EC 2.8.1.10)
Cgl0500,cg0589,,"ABC-type transporter, ATPase component"
Cgl2026,cg2222,rpsB,Small ribosomal subunit protein uS2 (30S ribosomal protein S2)
Cgl0587,cg0680,,Alpha/beta hydrolase
Cgl2919,cg3228,,Uncharacterized protein
Cgl1236,cg1394,,Predicted acetyltransferase
Cgl1236,cg1393,,Predicted acetyltransferase
Cgl0254,cg0309,sigC,"DNA-directed RNA polymerase specialized sigma subunits, sigma24 homologs"
Cgl0949,cg1084,cgtR10,"Two-component system, response regulators consisting of a CheY-like receiver domain and a HTH DNA-binding domain"
Cgl2935,cg3247,cgtR11(hrrA),"Two-component system, response regulators consisting of a CheY-like receiver domain and a HTH DNA-binding domain"
Cgl0383,cg0458,deoC,Deoxyribose-phosphate aldolase (DERA) (EC 4.1.2.4) (2-deoxy-D-ribose 5-phosphate aldolase) (Phosphodeoxyriboaldolase) (Deoxyriboaldolase)
Cgl1243,cg1400,,Exonuclease domain-containing protein
Cgl1628,cg1834,,"ABC-type transporter, ATPase component"
Cgl0973,cg1110,,Transglycosylase SLT domain-containing protein
Cgl2282,cg2507,,Uncharacterized membrane proteins
Cgl1412,cg1600,,Predicted rRNA methylases
Cgl1100,cg1250,,1D-myo-inositol 2-acetamido-2-deoxy-alpha-D-glucopyranoside deacetylase (GlcNAc-Ins deacetylase) (EC 3.5.1.103) (N-acetyl-1-D-myo-inositol 2-amino-2-deoxy-alpha-D-glucopyranoside deacetylase)
Cgl0515,cg0602,rplP,Large ribosomal subunit protein uL16 (50S ribosomal protein L16)
Cgl3070,cg3399,,Hypothetical membrane protein
Cgl1593,cg1796,ribX,Hypothetical membrane protein
Cgl2366,cg2599,,Pirin-related protein
Cgl1648,cg1856,,"Zn-dependent hydrolases, including glyoxylases"
Cgl0874,cg0996,cgtR2,"Two-component system, response regulators consisting of a CheY-like receiver domain and a HTH DNA-binding domain"
Cgl1957,cg2146,,Uncharacterized protein
Cgl2208,cg2422,lipB,Octanoyltransferase (EC 2.3.1.181) (Lipoate-protein ligase B) (Lipoyl/octanoyl transferase) (Octanoyl-[acyl-carrier-protein]-protein N-octanoyltransferase)
Cgl2916,cg3225,,Calcineurin-like phosphoesterase domain-containing protein
Cgl1750,cg1970,,Uncharacterized protein
Cgl2939,cg3251,,Class E sortase
Cgl1356,cg1528,dkgX,"Aldo/keto reductases, related to diketogulonate reductase (EC 1.1.1.218)"
Cgl2853,cg3159,,Universal stress protein UspA and related nucleotide-binding proteins
Cgl1173,cg1326,,Uncharacterized protein
Cgl0204,cg0252,,Hypothetical membrane protein
Cgl2425,cg2661,,DSBA-like thioredoxin domain-containing protein
Cgl1512,cg1707,,Protein-tyrosine-phosphatase (EC 1.-.-.-)
Cgl0934,cg1066,,"ABC-type transporter, ATPase component"
Cgl2445,cg2686,,Transcriptional regulator
Cgl2608,cg2889,,Predicted transcriptional regulators
Cgl0200,cg0248,,"ABC-type transporter, ATPase component"
Cgl0492,cg0580,,Uncharacterized protein
Cgl2095,cg2298,impA,"Archaeal fructose-1,6-bisphosphatase and related enzymes of inositol monophosphatase family"
Cgl1457,cg1648,,Transcriptional regulators
Cgl2071,cg2270,,Metallopeptidase
Cgl1136,cg1287,,Uncharacterized protein
Cgl2287,cg2512,,Endoribonuclease YbeY (EC 3.1.-.-)
Cgl0349,cg0419,,Sugar transferases involved in lipopolysaccharide synthesis
Cgl2105,cg2308,,Secreted protein
Cgl2866,cg3173,,NYN domain-containing protein
Cgl1455,cg1646,,"ABC-type transporter, ATPase component"
Cgl3051,cg3380,,Dehydrogenases with different specificities (Related to short-chain alcohol dehydrogenases) (EC 1.1.1.-)
Cgl1434,cg1623,,Zinc transporter ZupT
Cgl0554,cg0646,,Transcriptional regulator
Cgl2534,cg2792,nadE,NH(3)-dependent NAD(+) synthetase (EC 6.3.1.5)
Cgl2057,cg2256,,"ABC-type transporter, ATPase component"
Cgl1140,cg1291,,Hypothetical membrane protein
Cgl1001,cg1138,,Sortase and related acyltransferases
Cgl1388,cg1573,tsnR,rRNA methylases (EC 2.1.1.34)
Cgl2072,cg2271,,Co/Zn/Cd efflux system component
Cgl2832,cg3134,,"ABC-type transporter, permease components"
Cgl1641,cg1847,,CBS domain-containing protein
Cgl1456,cg1647,,Transport permease protein
Cgl1336,cg1507,int1,Integrase
Cgl1719,cg1936,,Secreted protein
Cgl1478,cg1672,ppmC,Glycosyltransferases involved in cell wall biogenesis
Cgl2069,cg2269,,Probable membrane transporter protein
Cgl1794,cg2014,,Uncharacterized protein
Cgl2692,cg2979,folK,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase (EC 2.7.6.3)
Cgl2755,cg3050,,Predicted acyltransferases
Cgl0464,cg0550,,Peptidase E
Cgl1676,cg1891,,Uncharacterized protein
Cgl1058,cg1204,,"Phosphoglycerate mutase/fructose-2,6-bisphosphatase (EC 5.4.2.-)"
Cgl1531,cg1727,,TVP38/TMEM64 family membrane protein
Cgl3067,cg3396,,"Membrane protease subunits, stomatin/prohibitin homologs"
Cgl1996,cg2187,,Mg-chelatase subunit ChlD
Cgl2007,cg2198,map2,Methionine aminopeptidase (MAP) (MetAP) (EC 3.4.11.18) (Peptidase M)
Cgl0410,cg0490,proC,Pyrroline-5-carboxylate reductase (P5C reductase) (P5CR) (EC 1.5.1.2) (PCA reductase)
Cgl0724,cg0831,,"ABC-type transporter, permease components"
Cgl0316,cg0384,rluC1,Pseudouridine synthase (EC 5.4.99.-)
Cgl2520,cg2777,,Hypothetical membrane protein
Cgl2747,cg3042,,"ABC-type transporter, ATPase component"
Cgl2321,cg2550,,"ABC-type transporter, permease components"
Cgl0297,cg0358,,Predicted hydrolases or acyltransferases (Alpha/beta hydrolase superfamily) (EC 3.3.2.9)
Cgl0164,cg0204,iolG,Inositol 2-dehydrogenase (EC 1.1.1.18) (Myo-inositol 2-dehydrogenase) (MI 2-dehydrogenase)
Cgl0426,cg0506,,"ABC-type transporter, ATPase component"
Cgl2578,cg2849,,Uncharacterized ACR
Cgl2449,cg2690,chrA,Chromate transport protein ChrA
Cgl2016,cg2208,dxr,1-deoxy-D-xylulose 5-phosphate reductoisomerase (DXP reductoisomerase) (EC 1.1.1.267) (1-deoxyxylulose-5-phosphate reductoisomerase) (2-C-methyl-D-erythritol 4-phosphate synthase)
Cgl2084,cg2286,,Carbohydrate phosphorylase
Cgl0447,cg0530,,Hypothetical membrane protein
Cgl2395,cg2628,pcaI,"Uncharacterized ACR, homolog of gamma-carboxymuconolactone decarboxylase subunit (EC 3.1.1.24, EC 4.1.1.44)"
Cgl2000,cg2191,,PhnB-like domain-containing protein
Cgl1237,,,
Cgl2044,cg2242,,Transcriptional regulators
Cgl2111,cg2314,,Transcriptional regulators
Cgl3004,cg3332,,Zinc-type alcohol dehydrogenase-like protein
Cgl1229,cg1385,,THUMP-like domain-containing protein
Cgl2666,cg2951,,DNA integrity scanning protein DisA (Cyclic di-AMP synthase) (c-di-AMP synthase) (Diadenylate cyclase) (EC 2.7.7.85)
Cgl2014,cg2206,ispG,4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin) (EC 1.17.7.3) (1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase)
Cgl3006,cg3334,,Arabinose efflux permease
Cgl2372,cg2605,,Predicted acetyltransferase
Cgl2060,cg2260,glnK,Nitrogen regulatory protein PII
Cgl1255,cg1414,,D-ribose pyranase (EC 5.4.99.62)
Cgl2088,cg2290,,Predicted ring-cleavage extradiol dioxygenase
Cgl1348,cg1520,,Peptidase S1 domain-containing protein
